Month,DayofMonth,DayOfWeek,CarrierName,ActualDeptTime,SchedDeptTime,DeptDelay,ActualArrvTime,SchedArrvTime,ArrvDelay,ActualElapsedTime,SchedElapsedTime,AirTime,TaxiIn,TaxiOut
3,25,T,Northwest Airlines Inc.,1153,1200,-7,1304,1304,0,131,124,107,11,13
3,25,T,United Air Lines Inc.,1407,1407,0,1517,1513,4,130,126,113,7,10
3,25,T,United Air Lines Inc.,1857,1902,-5,2015,2015,0,138,133,110,12,16
3,26,W,Northwest Airlines Inc.,1504,1436,28,1623,1538,45,139,122,109,13,17
3,26,W,United Air Lines Inc.,745,755,-10,854,914,-20,129,139,110,5,14
3,26,W,Northwest Airlines Inc.,2140,2145,-5,2245,2248,-3,125,123,108,6,11
3,26,W,Northwest Airlines Inc.,908,910,-2,1020,1017,3,132,127,107,7,18
3,27,TH,United Air Lines Inc.,752,755,-3,920,914,6,148,139,125,8,15
3,27,TH,United Air Lines Inc.,1902,1902,0,2029,2015,14,147,133,109,19,19
3,28,F,United Air Lines Inc.,716,620,56,826,728,58,130,128,108,5,17
3,28,F,United Air Lines Inc.,1205,1207,-2,1314,1313,1,129,126,113,4,12
3,28,F,Northwest Airlines Inc.,1314,1318,-4,1427,1423,4,133,125,110,7,16
3,28,F,Northwest Airlines Inc.,2144,2145,-1,2252,2248,4,128,123,104,8,16
3,28,F,Northwest Airlines Inc.,909,910,-1,1021,1017,4,132,127,104,9,19
3,29,SA,Northwest Airlines Inc.,2228,2145,43,2330,2248,42,122,123,105,5,12
3,29,SA,Northwest Airlines Inc.,1156,1200,-4,1259,1304,-5,123,124,101,6,16
3,30,SU,United Air Lines Inc.,1945,1853,52,2101,2005,56,136,132,111,7,18
3,30,SU,Northwest Airlines Inc.,904,910,-6,1030,1017,13,146,127,115,12,19
3,30,SU,Northwest Airlines Inc.,1311,1318,-7,1412,1423,-11,121,125,107,5,9
3,30,SU,Northwest Airlines Inc.,1648,1650,-2,1803,1754,9,135,124,113,7,15
3,31,M,United Air Lines Inc.,643,630,13,804,735,29,141,125,125,7,9
3,31,M,Northwest Airlines Inc.,1647,1650,-3,1838,1754,44,171,124,114,10,47
3,31,M,United Air Lines Inc.,1520,1354,86,1652,1500,112,152,126,118,8,26
3,31,M,United Air Lines Inc.,756,800,-4,915,919,-4,139,139,120,9,10
4,1,T,United Air Lines Inc.,1157,1203,-6,1309,1309,0,132,126,114,5,13
4,1,T,Northwest Airlines Inc.,909,910,-1,1014,1017,-3,125,127,108,7,10
4,2,W,Northwest Airlines Inc.,2228,2145,43,2339,2248,51,131,123,109,7,15
4,2,W,Northwest Airlines Inc.,1646,1650,-4,1803,1754,9,137,124,113,10,14
4,3,TH,Northwest Airlines Inc.,1456,1436,20,1601,1538,23,125,122,103,9,13
4,3,TH,Northwest Airlines Inc.,910,910,0,1038,1017,21,148,127,113,10,25
4,3,TH,United Air Lines Inc.,1202,1209,-7,1304,1315,-11,122,126,105,5,12
4,3,TH,Northwest Airlines Inc.,2142,2145,-3,2250,2248,2,128,123,92,14,22
4,3,TH,Northwest Airlines Inc.,1650,1650,0,1752,1754,-2,122,124,100,9,13
4,4,F,Northwest Airlines Inc.,1807,1650,77,1858,1754,64,111,124,98,5,8
4,4,F,Northwest Airlines Inc.,2139,2145,-6,2301,2248,13,142,123,101,11,30
4,5,SA,United Air Lines Inc.,627,630,-3,733,735,-2,126,125,109,4,13
4,6,SU,Northwest Airlines Inc.,905,910,-5,1038,1017,21,153,127,106,14,33
4,6,SU,Northwest Airlines Inc.,2158,2145,13,2254,2248,6,116,123,94,7,15
4,6,SU,United Air Lines Inc.,614,620,-6,709,725,-16,115,125,103,4,8
4,7,M,Northwest Airlines Inc.,1647,1650,-3,1754,1754,0,127,124,103,9,15
4,8,T,United Air Lines Inc.,1159,1209,-10,1258,1315,-17,119,126,101,9,9
4,8,T,United Air Lines Inc.,856,906,-10,1007,1025,-18,131,139,101,18,12
4,8,T,Northwest Airlines Inc.,1442,1436,6,1536,1537,-1,114,121,97,6,11
4,8,T,Northwest Airlines Inc.,2139,2145,-6,2229,2247,-18,110,122,95,5,10
4,9,W,United Air Lines Inc.,731,620,71,836,725,71,125,125,103,5,17
4,9,W,United Air Lines Inc.,1353,1357,-4,1453,1503,-10,120,126,104,5,11
4,9,W,Northwest Airlines Inc.,1652,1650,2,1807,1754,13,135,124,115,10,10
4,10,TH,United Air Lines Inc.,1225,1209,16,1331,1315,16,126,126,106,9,11
4,10,TH,Northwest Airlines Inc.,1616,1436,100,1721,1537,104,125,121,100,9,16
4,10,TH,Northwest Airlines Inc.,714,700,14,824,806,18,130,126,105,9,16
4,10,TH,United Air Lines Inc.,650,620,30,808,725,43,138,125,120,5,13
4,10,TH,Northwest Airlines Inc.,915,915,0,1043,1021,22,148,126,117,13,18
4,10,TH,United Air Lines Inc.,2315,1900,255,100,2012,288,165,132,99,5,61
4,10,TH,United Air Lines Inc.,1410,1357,13,1515,1503,12,125,126,103,7,15
4,11,F,Northwest Airlines Inc.,1802,1650,72,1853,1754,59,111,124,90,8,13
4,11,F,Northwest Airlines Inc.,2156,2145,11,2302,2247,15,126,122,92,9,25
4,11,F,Northwest Airlines Inc.,1440,1436,4,1546,1537,9,126,121,94,18,14
4,12,SA,Northwest Airlines Inc.,659,700,-1,810,806,4,131,126,98,9,24
4,13,SU,United Air Lines Inc.,908,915,-7,1023,1034,-11,135,139,103,18,14
4,13,SU,Northwest Airlines Inc.,659,700,-1,753,806,-13,114,126,87,7,20
